confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000129;2020-06-13;8;138;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000130;2020-06-13;36;1357;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000131;2020-06-13;13;356;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000132;2020-06-13;24;65;Eritrea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000133;2020-06-13;9;8692;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000134;2020-06-13;14;486;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000135;2020-06-13;44;553;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000136;2020-06-13;24;1776;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000137;2020-06-13;9;1693;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000138;2020-06-13;112;10810;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000139;2020-06-13;48;529;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000140;2020-06-13;8;4449;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000141;2020-06-13;66;2579;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000142;2020-06-13;152;3457;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000143;2020-06-13;29;1132;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000144;2020-06-13;16;409;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000145;2020-06-13;268;3166;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000146;2020-06-13;12;1252;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000147;2020-06-13;145;4996;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000148;2020-06-13;73;8683;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000149;2020-06-13;1;32;Namibia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000150;2020-06-12;213;7220;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000151;2020-06-12;30;442;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000152;2020-06-12;49;2106;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000153;2020-06-12;13;176;Comoras;confirmed_cases_africa_ncov_2020-06-16
