DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-05-08 17:29:17";"2020-05-08";"5";"488";"12";"ALGERIA";"https://www.observalgerie.com/covid-19-187-nouveaux-cas-et-5-deces-recenses-en-24-heures/2020/";
"2020-05-08 15:14:14";"2020-05-08";"1";"10";"768";"TOGO";"https://twitter.com/Covid19TG/status/1258746242185793537/photo/1";
"2020-05-08 12:13:31";"2020-05-08";"2";"185";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1258699939259076609/photo/1";
"2020-05-09 01:17:45";"2020-05-07";"3";"39";"180";"DRC";"https://mailchi.mp/dbd161885dd4/covid-19-bulletin-n-46-du-vendredi-08-mai-2020";
"2020-05-08 22:19:37";"2020-05-07";"1";"28";"148";"CHAD";"https://twitter.com/Covid19TD/status/1258818647910301696/photo/1";
"2020-05-08 11:15:46";"2020-05-07";"22";"86";"120";"CAMEROON";"https://twitter.com/CameroonPm237/status/1258554746526470146";
"2020-05-08 10:50:09";"2020-05-07";"1";"44";"788";"TUNISIA";"https://twitter.com/covid19tunisia/status/1258560813457182721/photo/4";
"2020-05-08 00:23:31";"2020-05-07";"4";"107";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1258522195128496129/photo/1";
"2020-05-08 00:13:40";"2020-05-07";"1";"5";"678";"SAO TOME";"https://web.facebook.com/governostp/photos/a.569713916875106/835673490279146/?type=3&__xts__%5B0%5D=68.ARD0Q98SeOjhtNG5EhyoFLvUWCF58cMVLUhjnWU940acQnYjsCJiL845guxjoZwLTdJXiyjXWq3p4z6gOjWbsF7W8ZEF39zI4UPerJQOQwixxtZNGBoxv51eBorw7mPTtitRU-7JPhQ0NzcjciyFnW0RZ7Z7RUU5lPrBjJfSH69abKpzd5t0cEw1T2bPZPPh93BWGgpdGGpZdnyinU__FamusDpVdhOwODccDJ8SnpZAFYa06l6Vxsq8eXlyhTDi4mv37xzlLdLYR0zHFeOq4-oL4gdcIUj2IP2LKIfuyisu-haPakLqZsNEguCvpitiApSGCtwtg_bBaPUN0Smy2G8&__tn__=-R";
"2020-05-07 22:25:21";"2020-05-07";"2";"20";"384";"CIV";"https://twitter.com/OmsCotedivoire/status/1258490985539080200/photo/1";
